target,ligand_pdb,old_pose,new_pose,pose_changed,old_interaction,new_interaction
4pcs,2j7h,74,94,True,-294.5440998900734,-252.30527039318224
4pcs,4ciw,47,47,False,-214.9748384112936,-212.947153108277
4pcs,3dx2,84,84,False,-204.6666131144274,-158.77949748896424
4pcs,4f3c,96,96,False,-183.23383215383157,-137.97554821231955
4pcs,3n76,33,64,True,-122.0659254959948,-136.99848364318714
4pcs,3ejr,84,84,False,-175.38492242615402,-127.93934303861477
4pcs,3dx1,63,40,True,-138.44993104236974,-123.91771229258288
4pcs,4f2w,42,20,True,-146.68370553489973,-123.24824650039268
4pcs,2wbg,35,35,False,-121.94901262972574,-112.61076216361914
4pcs,4jfs,95,95,False,-151.08118625714673,-111.3416841276436
4pcs,2xii,100,100,False,-143.77794898507076,-110.03582852385468
4pcs,4j28,97,89,True,-128.6923622077155,-108.57177541255844
4pcs,2wvt,95,85,True,-126.30565028852044,-106.26164670483092
4pcs,1ps3,89,89,False,-110.12394080934904,-96.08548558211366
4pcs,2cbv,84,84,False,-117.0672109628199,-96.07987034059116
4pcs,2j78,89,89,False,-92.1509960654108,-93.77552043731544
4pcs,2cet,67,67,False,-113.29693932620113,-93.09826939401675
4pcs,4pcs,93,93,False,-107.63234612635682,-83.48625625383465
4pcs,3n86,60,60,False,-98.6154691221084,-83.24817123411995
4pcs,3d4z,10,10,False,-71.38146705432979,-61.4622118602458
4twp,1o5b,39,39,False,-236.339502868198,-234.17180491202464
4twp,1a30,8,8,False,-245.5926773803868,-206.135915551083
4twp,2xbv,94,94,False,-216.8633315961396,-173.73277295299502
4twp,1c5z,74,70,True,-173.38221312311722,-171.116182314716
4twp,2y5h,43,43,False,-201.38047242183825,-159.49168432370485
4twp,1sqa,30,1,True,-154.4225677657886,-157.04169588793405
4twp,1lpg,41,91,True,-189.2284359750097,-153.32340912023693
4twp,1owh,24,24,False,-193.17079526266272,-135.74458098681887
4twp,4eor,2,2,False,-181.99184446804855,-135.69629973350297
4twp,1z6e,96,10,True,-185.98320011913137,-121.44568009933523
4twp,2xnb,96,19,True,-143.19110123446654,-116.29112194801964
4twp,3kgp,47,47,False,-128.36786585934374,-103.42751686875684
4twp,1pxn,11,11,False,-113.98100079551466,-103.0845535481426
4twp,3mss,42,42,False,-107.77345492538022,-100.07324392351556
4twp,2v7a,99,99,False,-144.69285212763333,-99.6398347714441
4twp,1mq6,82,56,True,-107.14825614237677,-96.15429697533575
4twp,2fvd,11,11,False,-116.15958937665044,-93.90541393462917
4twp,1eby,12,12,False,-85.01778472324389,-85.83741947818065
4twp,3k5v,14,14,False,-93.39028940725969,-75.980519853803
4twp,4twp,1,32,True,-69.43403116880582,-73.41447247295201
5dwr,3ebp,19,19,False,-266.16555921210204,-206.1995906563401
5dwr,3jya,93,93,False,-189.4590226477322,-200.25712706706656
5dwr,4e5w,98,98,False,-207.83126972591032,-171.94878115038335
5dwr,4ivc,27,27,False,-162.76570662962445,-155.0408060602035
5dwr,4k18,27,27,False,-134.34540158528608,-150.6131818620779
5dwr,3bgz,48,48,False,-161.85698884305742,-140.69734579214284
5dwr,2wca,97,97,False,-132.42452819982788,-136.16980462378356
5dwr,4eky,83,83,False,-168.6149433284583,-131.8729185098026
5dwr,2xj7,51,51,False,-166.5537043710924,-129.6760241230535
5dwr,4ivd,21,21,False,-126.22390719454832,-129.07931488755577
5dwr,3l7b,57,49,True,-135.56341774051296,-127.2263150482152
5dwr,4k77,58,58,False,-122.47313991175648,-113.45534129829724
5dwr,2w4x,3,3,False,-117.4296464047658,-106.23828134545748
5dwr,2vvn,75,75,False,-113.15202552601754,-105.07551454943902
5dwr,3g2n,91,91,False,-67.63169153331847,-104.30269304904476
5dwr,2c3i,87,87,False,-105.51472764976836,-99.64919296552888
5dwr,2w66,45,98,True,-127.30038084648136,-99.0834876583974
5dwr,4ivb,21,21,False,-123.91748623729951,-82.60738473817358
5dwr,5dwr,60,60,False,-99.59936472484095,-76.13358628625343
5dwr,3syr,89,78,True,-98.06897336965336,-71.20695273875569
